source,target
W4221085235,W3185391237
W4322775484,W3106004227
W4377220784,W4322772987
W4378837333,W2963002078
W4378837333,W2974427135
W4378837333,W2977664612
W4378837333,W2993180841
W4378837333,W2995425743
W4378837333,W2996362743
W4378837333,W3035076551
W4378837333,W3041529689
W4378837333,W3090510056
W4378837333,W3092094049
W4378837333,W3093734695
W4378837333,W3106857025
W4378837333,W3108845853
W4378837333,W3128375783
W4378837333,W3176886228
W4378837333,W3196241734
W4378837333,W4381250682
W4382561158,W4205671723
W4383821380,W3098379067
W4383821380,W3205562704
W4383821380,W3205923042
W4383821380,W4383821380
W4385376217,W3038334416
W4385376217,W3103850140
W4385376217,W3122984484
W4385376217,W3152087882
W4385376217,W3161971066
W4385376217,W4224488483
W4385387159,W3005061386
W4385387159,W4307038525
W4385391075,W3186516455
W4385698389,W2981346539
W4385698389,W4281675400
W4385698389,W4384024635
W4385716098,W4210299969
W4386120798,W3216162557
W4386120798,W4280639834
W4386370422,W2974427135
W4386370422,W2993180841
W4386370422,W3035034999
W4386370422,W3041529689
W4386370422,W3093734695
W4386370422,W3108845853
W4386387530,W2887397961
W4386387530,W2974427135
W4386387530,W2978291699
W4386387530,W2993180841
W4386387530,W3011650960
W4386387530,W3015765655
W4386387530,W3041529689
W4386387530,W3048599524
W4386387530,W3093734695
W4386387530,W3108284800
W4386387530,W3108845853
W4386387530,W3216008750
W4386387530,W4220663624
W4386733932,W4205307812
W4386733932,W4310936974
W4389226001,W4367399578
W4389252195,W4206832082
W4390097956,W3028952982
W4390097956,W4384300214
W4390097956,W4402376336
W4390098629,W3120704537
W4390102325,W3004333105
W4390102325,W3094077650
W4390102325,W4220820667
W4390112805,W3198421913
W4390112805,W4317567743
W4390571125,W2963002078
W4390571125,W2974427135
W4390571125,W3041529689
W4390571125,W3042522297
W4390571125,W3081505077
W4390571125,W3093734695
W4390571125,W3108845853
W4390571125,W3135863413
W4390571125,W4385428330
W4391175466,W2974427135
W4391175466,W3022252788
W4391175466,W3035034999
W4391175466,W3041529689
W4391175466,W3129605782
W4391175466,W4223682332
W4391305479,W3026139454
W4391305479,W3085805767
W4391305479,W3130569205
W4391305479,W4286285629
W4391305479,W4309030581
W4391315373,W3133961020
W4391315373,W3136185737
W4391315373,W4319792055
W4391315373,W4381330954
W4391322575,W3005391109
W4391322575,W3084480181
W4392189557,W3114763295
W4392189557,W3180102914
W4392189557,W4313312456
W4392529300,W3098462953
W4392529300,W3180876170
W4392529300,W4285900211
W4392529300,W4323255809
W4392529300,W4379958382
W4392529300,W4379958463
W4392529300,W4380047407
W4392529300,W4391296465
W4393195341,W3044318436
W4393195341,W4220880474
W4393195341,W4297178670
W4393195341,W4385984480
W4395466970,W3127576811
W4395466970,W3131456049
W4395466970,W3185941368
W4395466970,W4304617220
W4395466970,W4385324170
W4396642938,W4366960304
W4396642938,W4401588366
W4399167598,W2974427135
W4399167598,W2995425743
W4399167598,W3035076551
W4399167598,W3093734695
W4399167598,W3108845853
W4399167598,W3133752370
W4399167598,W3176886228
W4399167598,W4221161542
W4399167598,W4375944134
W4399391909,W2887397961
W4399391909,W2974427135
W4399391909,W2978291699
W4399391909,W3010671326
W4399391909,W3041529689
W4399391909,W3091423276
W4399391909,W3162442601
W4399391909,W3173669359
W4399391909,W4379791688
W4399391909,W4383619819
W4399391909,W4385428330
W4399413317,W4200131616
W4399413317,W4282983005
W4399413317,W4389343587
W4399480813,W2993180841
W4399480813,W3035076551
W4399480813,W3093734695
W4399480813,W3108845853
W4399531259,W2974427135
W4399531259,W3041529689
W4399531259,W3093734695
W4399531259,W3108845853
W4399531259,W3153000218
W4399531259,W4221161566
W4399531259,W4375870073
W4399531259,W4385428330
W4399531259,W4385810595
W4400084127,W2981346539
W4400084127,W4379980424
W4400823475,W3113777869
W4400823475,W4226536364
W4400823475,W4290774101
W4400823475,W4317611423
W4400823475,W4385335447
W4402216548,W3035034999
W4402216548,W3108284800
W4402216548,W4223682332
W4402216548,W4386448238
W4402216548,W4391780403
W4402216548,W4401452346
W4402746166,W3182380637
W4402746166,W3183126191
W4402746166,W3187483450
W4402746166,W4212906422
W4402746166,W4327622053
W4403058747,W2974427135
W4403058747,W3035076551
W4403058747,W3041529689
W4403058747,W3093734695
W4403058747,W3108845853
W4403058747,W4385810595
W4404013803,W3081882204
W4404013803,W4210480602
W4404013803,W4315706130
W4404013803,W4404013803
W3040314184,W2806351947
W3157646759,W4281969102
W3186461226,W3186276178
W4205819431,W2974427135
W4205819431,W2978291699
W4205819431,W2993180841
W4205819431,W3041529689
W4205819431,W3108845853
W4229078458,W3165506273
W4285036147,W2998834742
W4285036147,W3004053867
W4285036147,W3142977497
W4304187850,W3043026138
W4304187850,W4317506364
W4312820212,W3036542652
W4312820212,W3110888614
W4312820212,W3210474395
W4317506364,W3043026138
W4317506364,W4304187850
W4319166616,W2974427135
W4319166616,W3011650960
W4319166616,W3041529689
W4319166616,W3093734695
W4319166616,W3108845853
W4319166616,W4385428330
W4319166616,W4385810595
W4319166616,W4389180615
W4319787878,W4319656777
W4323355476,W3163970006
W4360980095,W3047311570
W4366456537,W3023537476
W4366456537,W3158457895
W4366456537,W4307852475
W4366456537,W4386855419
W4367369903,W4225302148
W4367369903,W4323043709
W4379806393,W2993180841
W4379806393,W3093734695
W4379806393,W4366464688
W4380591583,W3078302120
W4380591583,W4225522803
W4382237563,W2974427135
W4382237563,W2981048963
W4382237563,W2993180841
W4382237563,W3041529689
W4382237563,W3103492394
W4382237563,W3108284800
W4382237563,W3108845853
W4382237563,W3129605782
W4383821542,W3217454679
W4383821542,W4206557967
W4383821542,W4283726102
W4385622125,W2974427135
W4385622125,W3022252788
W4385622125,W3047671489
W4385622125,W3084548477
W4385622125,W3093734695
W4385622125,W4223682332
W4385622125,W4285808599
W4385622125,W4385622125
W4385812964,W2471744027
W4385812964,W2963002078
W4385812964,W2974427135
W4385812964,W2993180841
W4385812964,W3041529689
W4385812964,W3093734695
W4385812964,W3108845853
W4385812964,W4223661971
W4385812964,W4225289839
W4386000942,W2974427135
W4386000942,W2981457903
W4386000942,W2993180841
W4386000942,W3041529689
W4386000942,W3093734695
W4386000942,W3108284800
W4386000942,W3108845853
W4386000942,W3207692543
W4386000942,W4221154516
W4386000942,W4366815824
W4386741582,W3002678809
W4386741582,W4200351350
W4386741901,W3024179195
W4386741901,W4386741901
W4386748322,W3024110298
W4386748322,W3108707052
W4387540607,W2974427135
W4387540607,W2993180841
W4387540607,W3035034999
W4387540607,W3041529689
W4387540607,W3093734695
W4387540607,W3108845853
W4387540607,W4223682332
W4387540607,W4285808599
W4387540607,W4385655679
W4388072498,W2471744027
W4388072498,W2993180841
W4388072498,W2994804089
W4388072498,W3108845853
W4388231019,W4388231019
W4388231766,W3106944396
W4388231766,W3160751839
W4388231766,W3172542371
W4389237211,W3001784622
W4390112624,W4390112624
W4390578750,W3015046805
W4390578750,W3133075091
W4390578750,W4205630102
W4391020079,W3141205982
W4391230152,W3129646504
W4391230152,W3204171486
W4391230152,W4205760540
W4391230152,W4224911883
W4391230152,W4310375258
W4391230152,W4385810526
W4392107445,W3095937184
W4392107445,W4210477422
W4392107445,W4294091442
W4392107445,W4378187132
W4392171698,W3001482196
W4392171698,W3097671515
W4392171698,W3138300784
W4392171698,W4289521168
W4392171698,W4308886693
W4392171698,W4318194458
W4392197269,W3129543734
W4392197269,W3215221222
W4392201320,W2974427135
W4392201320,W2981346539
W4392201320,W2982180992
W4392201320,W2993180841
W4392201320,W3041529689
W4392201320,W4387671645
W4392214339,W3185847870
W4392214339,W4385322577
W4392231162,W4226232308
W4392241283,W3032582563
W4392543467,W2983171459
W4392543467,W3093734695
W4392847529,W2998817133
W4392847529,W3136709863
W4392865272,W3036570619
W4392865272,W3196501854
W4392865272,W3199880739
W4392869450,W3135369053
W4392869450,W3196886780
W4392869450,W4291710419
W4392869450,W4382656885
W4392869450,W4392869450
W4393114942,W3012219549
W4393114942,W4200438740
W4396652482,W4396652482
W4399135017,W3019102166
W4399135017,W3178592321
W4399135017,W4220728882
W4399135017,W4224250479
W4399135017,W4323275984
W4399138261,W4212790970
W4399143226,W2945209506
W4399143226,W3126740149
W4399143226,W4294276598
W4399143226,W4312192577
W4399143226,W4387818091
W4399143226,W4398782805
W4399148468,W3172784824
W4399464374,W4285389227
W4399520473,W2993180841
W4399520473,W3035076551
W4399520473,W3093734695
W4399520473,W3108845853
W4399520473,W3173669359
W4399520473,W3185686840
W4399520473,W4381250682
W4399520473,W4385428330
W4399520473,W4385810595
W4399521586,W4316652350
W4399521586,W4316652388
W4399521586,W4399521586
W4399880928,W2974427135
W4399880928,W2993180841
W4399880928,W3022399049
W4399880928,W3032580987
W4399880928,W3041529689
W4399880928,W3093734695
W4399880928,W3108845853
W4399880928,W3207692543
W4399880928,W4221154516
W4399880928,W4366815824
W4399880928,W4384007650
W4399880928,W4385067633
W4399880928,W4385428330
W4400814087,W2972599699
W4400814087,W2995425743
W4400814087,W3108845853
W4400814087,W3131551519
W4400814087,W3176886228
W4400814087,W3185686840
W4400814087,W4378837333
W4400814087,W4380536744
W4400814087,W4381250682
W4400814087,W4387894044
W4400848955,W3046302837
W4400848955,W3152457746
W4400849652,W3008266717
W4400854563,W3183774399
W4400854563,W3208800481
W4400854563,W4379229128
W4401374744,W4297118743
W4401452346,W2993180841
W4401452346,W3047671489
W4401452346,W4383619819
W4401452346,W4385428330
W4401452346,W4386448238
W4401452346,W4390047844
W4401452346,W4391780403
W4401612115,W3014588651
W4401612115,W4283372165
W4402582489,W4206608028
W4402762666,W2963002078
W4402762666,W2974427135
W4402762666,W2993180841
W4402762666,W3041529689
W4402762666,W3093734695
W4402762666,W3108845853
W4402762666,W4385428330
W4402762666,W4385647400
W4402762666,W4385738566
W4402762666,W4385810595
W4403422809,W2974427135
W4403422809,W3038378976
W4403422809,W3041529689
W4403422809,W3093734695
W4403422809,W3108845853
W4403422809,W3129605782
W4403422809,W4360610853
W4403422809,W4384525611
W4403422809,W4385428330
W4403422809,W4385492045
W4403422809,W4389180615
W4403486230,W2963002078
W4403486230,W2993180841
W4403486230,W3195519928
W4403486230,W3208158065
W4403486230,W4385747944
W4403486230,W4386458845
W4328089999,W3011834312
W4328089999,W3133058131
W4328090328,W4214527403
W4328090328,W4221067082
W4365458795,W3094273639
W4365458795,W4229041821
W4378837046,W2974427135
W4378837046,W2993180841
W4378837046,W3108284800
W4379656448,W3041529689
W4379656448,W3093734695
W4379656448,W3108845853
W4379656448,W4389180615
W4381334908,W2471744027
W4381334908,W2974427135
W4381334908,W2981457903
W4381334908,W2993180841
W4381334908,W3041529689
W4381334908,W3093734695
W4381334908,W3108284800
W4381334908,W3108845853
W4382561326,W3081030350
W4382561326,W3118148042
W4382561326,W4296252469
W4382561326,W4310276936
W4383314952,W3107656162
W4383816192,W3019140764
W4385367166,W3199815771
W4385367166,W4295539252
W4385390952,W3135417524
W4385391086,W3093330980
W4385391086,W4212952164
W4385391086,W4385391075
W4385417281,W2974427135
W4385417281,W3015765655
W4385417281,W3041529689
W4385417281,W3084548477
W4385417281,W3108845853
W4385417281,W4220663624
W4385436701,W4220824865
W4385436701,W4288767492
W4385436701,W4313560571
W4385436701,W4318483049
W4385436701,W4367628094
W4386148511,W4313292371
W4386726217,W3162704165
W4386746643,W3049201783
W4387604156,W3047924539
W4387604156,W4308286587
W4387604156,W4378531010
W4388035836,W2993180841
W4388035836,W3084548477
W4388035836,W3093734695
W4388035836,W3129605782
W4388035836,W4386032519
W4388494798,W3198513685
W4389228601,W3048480790
W4389228601,W3084925804
W4389228601,W4296037792
W4389239606,W4398972130
W4390102268,W3033437480
W4390347283,W3107804919
W4390347283,W3190054014
W4393258435,W3108845853
W4393258435,W4280493186
W4397002877,W2981130193
W4397002877,W3195622870
W4397002877,W4205256970
W4397002877,W4372291515
W4397002877,W4378175577
W4399119998,W4379620237
W4399133274,W4288967729
W4399138214,W3049457520
W4399138214,W3110607132
W4399138214,W3217493524
W4399271755,W2993180841
W4399271755,W3022399049
W4399271755,W3048856487
W4399271755,W3093734695
W4399271755,W3195519928
W4399271755,W4225289839
W4399271755,W4379806393
W4399423713,W4382656885
W4399423713,W4389165634
W4400823386,W4376633037
W4400854423,W3028135007
W4400854423,W4293207258
W4400854423,W4385525222
W4400863146,W3016935418
W4400863146,W3138374868
W4400975823,W2974427135
W4400975823,W2993180841
W4400975823,W3041529689
W4400975823,W3093734695
W4400975823,W3108845853
W4400975823,W4360610853
W4400975823,W4366464688
W4400975823,W4385356726
W4400975823,W4385428330
W4400975823,W4385647400
W4400975823,W4385810595
W4400975823,W4386284067
W4400975823,W4386709466
W4400975823,W4387341161
W4401246882,W2974427135
W4401246882,W2982180992
W4401246882,W2993180841
W4401246882,W3093734695
W4401246882,W3108284800
W4401246882,W4385424558
W4401246882,W4385428330
W4401434175,W3101102377
W4401434175,W4391439988
W4401687275,W2974427135
W4401687275,W2993180841
W4401687275,W3041529689
W4401687275,W3081986912
W4401687275,W3093734695
W4401687275,W3108845853
W4401687275,W3111906464
W4401687275,W3126937135
W4401687275,W3128736935
W4401687275,W4200632962
W4401687275,W4385428330
W4401687275,W4385810595
W4402269148,W2974427135
W4402269148,W3011650960
W4402269148,W3093734695
W4402269148,W3108284800
W4402269148,W3108845853
W4402269148,W4390571125
W4402984420,W2887397961
W4402984420,W2974427135
W4402984420,W2993180841
W4402984420,W3041529689
W4402984420,W3081986912
W4402984420,W3093734695
W4402984420,W3108845853
W4402984420,W4205963492
W4402984420,W4221061723
W4402984420,W4385343128
W4402984420,W4385428330
W4402984420,W4385810595
W4402984420,W4389180615
W4403413117,W2974427135
W4403413117,W2993180841
W4403413117,W3012236526
W4403413117,W3041529689
W4403413117,W3042522297
W4403413117,W3093734695
W4403413117,W3108845853
W4403483566,W2974427135
W4403483566,W2981457903
W4403483566,W3015765655
W4403483566,W3026602781
W4403483566,W3041529689
W4403483566,W3091423276
W4403483566,W3093734695
W4403483566,W3108845853
W4403483566,W3198338610
W4403483566,W4385428330
W4403483566,W4385810595
W4403485982,W2974427135
W4403485982,W2998171930
W4403485982,W3041529689
W4403485982,W3093734695
W4403485982,W3108845853
W4403485982,W4200082641
W4403485982,W4220663624
W4403485982,W4223458580
W4403485982,W4297819720
W4403485982,W4375944134
W4403485982,W4382794067
W4403485982,W4385428330
W4403485982,W4391541722
W4404280807,W2974427135
W4404280807,W2993180841
W4404280807,W3041456523
W4404280807,W3041529689
W4404280807,W3091769909
W4404280807,W3093734695
W4404280807,W3106857025
W4404280807,W3108845853
W4404280807,W3126463652
W4404280807,W4382809535
W4404280807,W4385428330
W4404280807,W4385647400
W4404280807,W4385810595
W4404920212,W4389482175
W4404923820,W2974427135
W4404923820,W2993180841
W4404923820,W3041529689
W4404923820,W3093734695
W4404923820,W3108284800
W4404923820,W3108845853
W4404923820,W4385428330
W4404923820,W4385622688
W4404923820,W4385810595
W4405425911,W2990845791
W4405425911,W3014835434
W4405425911,W4384024635
W4405658275,W2963002078
W4405658275,W4206645159
W4405658275,W4225289839
W4405658275,W4390047844
W4405796326,W3082428588
W4405871915,W3108284800
W4405891983,W3041529689
W4405891983,W3042522297
W4405891983,W3108845853
W4405891983,W4223661971
W4405891983,W4381332884
W4405894896,W3004157527
W4405894896,W4283071125
W4405894896,W4387974781
W3086505751,W3015046805
W3086505751,W3045376015
W3142837878,W3098244813
W3196241734,W2974427135
W3196241734,W2977664612
W3196241734,W2993180841
W3196241734,W3016579296
W3196241734,W3041529689
W3196241734,W3048599524
W3196241734,W3092094049
W3196241734,W3093734695
W3196241734,W3108845853
W4220751637,W3087201475
W4220751637,W3091768504
W4280617871,W3015046805
W4280617871,W4205630102
W4288391433,W3011508060
W4288391433,W3127595569
W4297100814,W3173695712
W4308865586,W2997360909
W4308865586,W3126554669
W4308865586,W4285140933
W4308865586,W4285308950
W4308865586,W4306180912
W4384405805,W2974427135
W4384405805,W2978291699
W4384405805,W2993180841
W4384405805,W3015765655
W4384405805,W3035034999
W4384405805,W3047671489
W4384405805,W3093734695
W4384405805,W3108845853
W4384405805,W3130491860
W3011531154,W2982180992
W3046904086,W2990887113
W3095743801,W2978291699
W3095743801,W3093734695
W3095743801,W3130491860
W3173669359,W2963826586
W3173669359,W2974427135
W3173669359,W2981346539
W3173669359,W3036303057
W3173669359,W3041529689
W3173669359,W3082194779
W3173669359,W3093734695
W3173669359,W3095743801
W3184236909,W3015046805
W3184236909,W3045376015
W3184236909,W4302773822
W4220663624,W2471744027
W4220663624,W2974427135
W4220663624,W2981346539
W4220663624,W2993180841
W4220663624,W3041529689
W4220663624,W3093734695
W4220663624,W3173669359
W4225384829,W3165795504
W4289780980,W2974427135
W4289780980,W3011650960
W4289780980,W3093734695
W4289780980,W3108845853
W4318586117,W3217457136
W4385331876,W3012155088
W4385331876,W3020873983
W4385331876,W3021223046
W4385331876,W4304208352
W4385647400,W2471744027
W4385647400,W2993180841
W4385647400,W3041529689
W4385647400,W3108845853
W3104611438,W3022033828
W4226071657,W2974427135
W4226071657,W2994804089
W4226071657,W3041529689
W4226071657,W3093734695
W4226071657,W3108845853
W4226071657,W3178059061
W4318263159,W3131093956
W4386606548,W2998757423
W4386606548,W3003519793
W4386606548,W3159494848
W4376601333,W2993180841
W4376601333,W3084548477
W4376601333,W4281675400
W4392455867,W4229066375
W3034551211,W3022151936
W3034551211,W3033257508
W3048514387,W2993180841
W3048514387,W3082194779
W3106049554,W3084375843
W3129605782,W3093734695
W4223661971,W2927899951
W4223661971,W2994804089
W4223661971,W2995425743
W4223661971,W3042522297
W4223661971,W3111906464
