id,doi,year,citations,type
W3084213432,https://doi.org/10.1093/mnras/staa2717,2020,35,paper
W3084548477,https://doi.org/10.1140/epjc/s10052-021-09054-3,2021,35,paper
W3091769909,https://doi.org/10.1140/epjc/s10052-021-09009-8,2021,35,paper
W3129646504,https://doi.org/10.3847/1538-3881/abf8bd,2021,35,paper
W3135863413,https://doi.org/10.1007/jhep07(2021)005,2021,35,paper
W4206898332,https://doi.org/10.1021/acs.accounts.1c00617,2022,35,paper
W4230139689,https://doi.org/10.12688/wellcomeopenres.15518.1,2020,34,paper
W4391023377,https://doi.org/10.1038/s41591-023-02732-7,2024,32,paper
W3045522828,https://doi.org/10.1093/molbev/msaa193,2020,34,paper
W3082157669,https://doi.org/10.1016/j.nicl.2020.102405,2020,34,paper
W3153000218,https://doi.org/10.1140/epjc/s10052-021-09439-4,2021,34,paper
W4220890491,https://doi.org/10.1371/journal.pbio.3001560,2022,34,paper
W4366464688,https://doi.org/10.1140/epjc/s10052-023-11573-0,2023,34,paper
W3015081687,https://doi.org/10.1021/acs.biomac.0c00445,2020,33,paper
W3042522297,https://doi.org/10.1140/epjc/s10052-020-08734-w,2021,34,paper
W3045164359,https://doi.org/10.1093/mnras/stab237,2021,33,paper
W3049693733,https://doi.org/10.1007/jhep10(2020)062,2020,33,paper
W3074554613,https://doi.org/10.1140/epjc/s10052-021-08929-9,2021,33,paper
W3082095309,https://doi.org/10.1093/mnras/staa2386,2020,33,paper
W3104982698,https://doi.org/10.1007/jhep02(2021)226,2021,32,paper
W3138839355,https://doi.org/10.1103/physrevlett.126.122301,2021,31,paper
W3152087882,https://doi.org/10.1093/mnras/stab979,2021,33,paper
W3195622870,https://doi.org/10.1103/physrevc.104.024906,2021,32,paper
W4205963492,https://doi.org/10.1103/physrevd.105.012006,2022,30,paper
W4281667141,https://doi.org/10.1098/rsfs.2022.0002,2022,33,paper
W2983171459,https://doi.org/10.1140/epjc/s10052-020-7624-4,2020,32,paper
W3032580987,https://doi.org/10.1007/jhep10(2020)061,2020,30,paper
W3039001211,https://doi.org/10.1039/d0dt01133a,2020,32,paper
W3094412012,https://doi.org/10.1103/physrevb.103.054424,2021,32,paper
W4284892336,https://doi.org/10.1002/adfm.202204881,2022,32,paper
W4317666385,https://doi.org/10.1007/s13399-023-03745-5,2023,32,paper
W3003481405,https://doi.org/10.1103/physrevlett.124.046402,2020,31,paper
W3185686840,https://doi.org/10.1007/jhep07(2021)167,2021,32,paper
W3209083906,https://doi.org/10.1145/3459637.3482096,2021,30,paper
W4283458744,https://doi.org/10.1093/mnras/stac1744,2022,31,paper
W4313199396,https://doi.org/10.1016/j.optlastec.2022.109001,2022,31,paper
W3031576691,https://doi.org/10.1073/pnas.2002312117,2020,30,paper
W3129095565,https://doi.org/10.1109/jproc.2020.3046525,2021,29,paper
W3000045429,https://doi.org/10.1038/s41550-019-0975-9,2020,29,paper
W3011650960,https://doi.org/10.1007/jhep07(2020)124,2020,29,paper
W3029974219,https://doi.org/10.1093/cjip/poaa006,2020,28,paper
W3181440196,https://doi.org/10.1038/s41567-021-01236-w,2021,29,paper
W3198802184,https://doi.org/10.1007/jhep11(2021)209,2021,26,paper
W4212896354,https://doi.org/10.1111/anti.12810,2022,29,paper
W4221161542,https://doi.org/10.1140/epjc/s10052-022-10489-5,2022,29,paper
W4306777596,https://doi.org/10.1016/j.jmrt.2022.10.055,2022,29,paper
W4321350436,https://doi.org/10.1016/j.matdes.2023.111774,2023,29,paper
W2981346539,https://doi.org/10.1140/epjc/s10052-020-08477-8,2020,28,paper
W3005366946,https://doi.org/10.1109/tgcn.2020.2972267,2020,28,paper
W3008490233,https://doi.org/10.1136/jech-2019-213289,2020,28,paper
W3025763786,https://doi.org/10.1302/0301-620x.102b9.bjj-2020-0282.r1,2020,26,paper
W3042132278,https://doi.org/10.1007/jhep01(2021)033,2021,25,paper
W3080400811,https://doi.org/10.1093/mnras/staa2498,2020,28,paper
W3095817766,https://doi.org/10.1007/s10803-020-04772-1,2020,28,paper
W3186614190,https://doi.org/10.1136/bmjopen-2020-043242,2021,27,paper
W3203710815,https://doi.org/10.1556/2006.2021.00058,2021,27,paper
W4225289839,https://doi.org/10.1140/epjc/s10052-022-10217-z,2022,28,paper
W4228997338,https://doi.org/10.1177/14614448221093762,2022,26,paper
W4292697871,https://doi.org/10.1007/jhep08(2022)175,2022,28,paper
W4380536744,https://doi.org/10.1007/jhep06(2023)031,2023,24,paper
W3037168183,https://doi.org/10.1515/jib-2020-0017,2020,25,paper
W3081505077,https://doi.org/10.1007/jhep08(2020)051,2020,27,paper
W4200632962,https://doi.org/10.1007/jhep06(2022)097,2022,27,paper
W4224911883,https://doi.org/10.1051/0004-6361/202243744,2022,27,paper
W3015765655,https://doi.org/10.1007/jhep07(2020)044,2020,26,paper
W3039248883,https://doi.org/10.1016/j.cscm.2020.e00403,2020,26,paper
W3091097863,https://doi.org/10.1002/chem.202003604,2020,25,paper
W3194822224,https://doi.org/10.1103/physrevd.104.112005,2021,26,paper
W4285728837,https://doi.org/10.1038/s41396-022-01282-z,2022,25,paper
W4294955735,https://doi.org/10.1007/s10978-022-09323-4,2022,26,paper
W4383619819,https://doi.org/10.1007/jhep07(2023)040,2023,26,paper
W4386448238,https://doi.org/10.1103/physrevd.108.052003,2023,26,paper
W3113398896,https://doi.org/10.1103/physrevlett.126.248001,2021,25,paper
W3162442601,https://doi.org/10.1140/epjc/s10052-021-09807-0,2022,25,paper
W3202486906,https://doi.org/10.1007/jhep10(2021)013,2021,22,paper
W3215199872,https://doi.org/10.1093/mnrasl/slab116,2021,25,paper
W4221161566,https://doi.org/10.1103/physrevd.105.092012,2022,25,paper
W4224999472,https://doi.org/10.1177/08944393211049120,2022,24,paper
W4282839338,https://doi.org/10.1161/strokeaha.121.037006,2022,26,paper
W4378468686,https://doi.org/10.1140/epjc/s10052-023-11436-8,2023,25,paper
W4385374585,https://doi.org/10.1016/j.electacta.2023.142939,2023,25,paper
W2471744027,https://doi.org/10.1140/epjc/s10052-020-08700-6,2020,24,paper
W3017065331,https://doi.org/10.1021/acs.orglett.0c01213,2020,23,paper
W3019749741,https://doi.org/10.1103/physrevlett.125.221802,2020,24,paper
W3081761304,https://doi.org/10.1093/mnras/staa2676,2020,24,paper
W3090510056,https://doi.org/10.1007/jhep10(2020)005,2020,22,paper
W3107430779,https://doi.org/10.26508/lsa.202000869,2020,23,paper
W3197320752,https://doi.org/10.1016/j.tra.2021.08.003,2021,24,paper
W4289537608,https://doi.org/10.3866/pku.whxb202207024,2022,24,paper
W4381250682,https://doi.org/10.1140/epjc/s10052-023-11434-w,2023,20,paper
W4385810595,https://doi.org/10.1140/epjc/s10052-023-11736-z,2023,24,paper
W3004161535,https://doi.org/10.1016/j.physletb.2020.135262,2020,23,paper
W3011482077,https://doi.org/10.4310/mrl.2023.v30.n2.a5,2023,23,paper
W3107421754,https://doi.org/10.1116/6.0000577,2020,23,paper
W4281675400,https://doi.org/10.1103/physrevc.105.064903,2022,22,paper
W4323348971,https://doi.org/10.1016/j.electacta.2023.142166,2023,23,paper
W4385622688,https://doi.org/10.1103/physrevlett.131.061803,2023,23,paper
W4386740911,https://doi.org/10.1038/s41597-023-02501-8,2023,23,paper
W3012236526,https://doi.org/10.1007/jhep03(2020)054,2020,19,paper
W3035440685,https://doi.org/10.24963/ijcai.2020/186,2020,22,paper
W3103360480,https://doi.org/10.1088/1748-0221/15/09/p09004,2020,22,paper
W3110856113,https://doi.org/10.1039/d0md00265h,2020,22,paper
W3145572169,https://doi.org/10.1111/jors.12531,2021,22,paper
W3216008750,https://doi.org/10.1007/jhep11(2021)118,2021,21,paper
W4200095541,https://doi.org/10.1038/s41522-021-00257-w,2021,22,paper
W3005889258,https://doi.org/10.1021/acssensors.9b02444,2020,21,paper
W3007631770,https://doi.org/10.1111/rssc.12398,2020,21,paper
W3084719518,https://doi.org/10.1007/jhep09(2020)049,2020,21,paper
W3099364745,https://doi.org/10.1051/0004-6361/202037470,2020,20,paper
W3109999038,https://doi.org/10.1140/epjc/s10052-021-09566-y,2021,18,paper
W3139417781,https://doi.org/10.1016/s1003-6326(21)65526-7,2021,21,paper
W3178059061,https://doi.org/10.1038/s41567-021-01225-z,2021,21,paper
W3184586079,https://doi.org/10.1371/journal.pntd.0008824,2021,20,paper
W3187719245,https://doi.org/10.1080/09692290.2021.1959377,2021,21,paper
W4225966664,https://doi.org/10.1093/mnras/stac1076,2022,21,paper
W4310375258,https://doi.org/10.3847/1538-3881/ac9c5c,2022,21,paper
W4386911013,https://doi.org/10.1128/spectrum.01112-23,2023,21,paper
W3024763151,https://doi.org/10.1186/s40723-020-00068-0,2020,20,paper
W3040647753,https://doi.org/10.3310/hta24310,2020,19,paper
W3122546898,https://doi.org/10.4314/mmj.v32i3.2,2020,19,paper
W3137973845,https://doi.org/10.1007/jhep06(2021)003,2021,20,paper
W3180559925,https://doi.org/10.1140/epjc/s10052-021-09344-w,2021,18,paper
W4206769233,https://doi.org/10.1016/j.euroecorev.2021.104007,2022,19,paper
W4206951038,https://doi.org/10.1007/s00590-021-03198-4,2022,20,paper
W4210535347,https://doi.org/10.1140/epjc/s10052-021-09878-z,2022,20,paper
W4291020926,https://doi.org/10.1186/s12915-022-01379-z,2022,19,paper
W4304617220,https://doi.org/10.1016/s2214-109x(22)00360-6,2022,19,paper
W4307568531,https://doi.org/10.1016/j.resuscitation.2022.10.015,2022,16,paper
W4384009173,https://doi.org/10.1140/epjc/s10052-023-11578-9,2023,20,paper
W4390629624,https://doi.org/10.1016/j.jhazmat.2024.133440,2024,20,paper
W2765984280,https://doi.org/10.18260/1-2--10966,2020,0,paper
W2999366748,https://doi.org/10.1111/ehr.12959,2020,0,paper
W3001801573,https://doi.org/10.1177/0964663919896944,2020,0,paper
W3007028480,https://doi.org/10.1016/j.tacc.2019.12.067,2020,0,paper
W3007154802,https://doi.org/10.1093/jjfinec/nbaa001,2020,0,paper
W3007398733,https://doi.org/10.48550/arxiv.2002.11305,2020,0,paper
W3010197949,https://doi.org/10.1017/s0075435820000283,2020,0,paper
W3011311497,https://doi.org/10.7202/1067747ar,2020,0,paper
W3013160844,https://doi.org/10.1093/res/hgaa027,2020,0,paper
W3014109701,https://doi.org/10.1101/2020.04.06.027193,2020,0,paper
W3015196671,https://doi.org/10.1093/fs/knaa045,2020,0,paper
W3015214766,,2020,0,paper
W3020860546,https://doi.org/10.1093/shm/hkaa017,2020,0,paper
W3021687480,,2020,0,paper
W3025310100,,2020,0,paper
W3025452587,,2020,0,paper
W3034482300,https://doi.org/10.1093/tcbh/hwaa019,2020,0,paper
W3035736518,https://doi.org/10.1111/hojo.12372,2020,0,paper
W3039171419,https://doi.org/10.1093/ahr/rhaa268,2020,0,paper
W3041232228,https://doi.org/10.1080/1369118x.2020.1781918,2020,0,paper
W3041301203,https://doi.org/10.53386/nilq.v59i2.514,2020,0,paper
W3041480093,,2020,0,paper
W3041600429,https://doi.org/10.29311/2020.17,2020,0,paper
W3041759668,https://doi.org/10.1080/17460654.2020.1793511,2020,0,paper
W3041987953,,2020,0,paper
W3043621011,,2020,0,paper
W3043737563,https://doi.org/10.1093/notesj/gjaa090,2020,0,paper
W3047508119,https://doi.org/10.1093/fs/knaa115,2020,0,paper
W3081193907,,2020,0,paper
W3081540284,https://doi.org/10.15293/2658-6762.2004.07,2020,0,paper
W3081648470,https://doi.org/10.1353/ajp.2020.0029,2020,0,paper
W3082762687,https://doi.org/10.1177/0021886320953848,2020,0,paper
W3083336431,,2020,0,paper
W3084898050,https://doi.org/10.48550/arxiv.2009.05536,2020,0,paper
W3087276248,,2020,0,paper
W3087628736,,2020,0,paper
W3088377463,https://doi.org/10.1136/emermed-2020-999abs.6,2020,0,paper
W3089611423,https://doi.org/10.1017/rqx.2020.164,2020,0,paper
W3092024518,https://doi.org/10.1111/jlca.12500,2020,0,paper
W3095927231,https://doi.org/10.1093/ehr/ceaa178,2020,0,paper
W3096198946,https://doi.org/10.1093/ehr/ceaa145,2020,0,paper
W3096345615,https://doi.org/10.1093/ehr/ceaa180,2020,0,paper
W3097197665,https://doi.org/10.1080/0142159x.2020.1839636,2020,0,paper
W3097326534,https://doi.org/10.1596/1813-9450-9469,2020,0,paper
W3102779004,https://doi.org/10.33844/ijol.2020.60509,2020,0,paper
W3104127436,,2020,0,paper
W3106536740,https://doi.org/10.1093/ehr/ceaa225,2020,0,paper
W3109645774,https://doi.org/10.1101/2020.11.25.20238600,2020,0,paper
W3109976048,https://doi.org/10.1093/jrs/feaa127,2020,0,paper
W3110103701,https://doi.org/10.1093/shm/hkaa066,2020,0,paper
W3111205237,https://doi.org/10.1177/0964663920979739,2020,0,paper
W3111404752,,2020,0,paper
W3113099873,https://doi.org/10.1177/0968344518824425,2020,0,paper
W3118182646,https://doi.org/10.1088/1751-8121/abd69f,2020,0,paper
W3118645655,,2020,0,paper
W3121338137,https://doi.org/10.20944/preprints201911.0062.v2,2020,0,paper
W3129453598,https://doi.org/10.31235/osf.io/vfqhn,2020,0,paper
W3129622461,https://doi.org/10.1158/1538-7445.sabcs20-pd13-02,2021,0,paper
W3131139647,https://doi.org/10.4310/mrl.2023.v30.n3.a3,2023,0,paper
W3134984502,https://doi.org/10.1145/3453953.3453982,2021,0,paper
W3157504176,,2020,0,paper
W3163986754,,2020,0,paper
W3176619895,https://doi.org/10.1080/13534645.2021.1896085,2020,0,paper
W3177335795,https://doi.org/10.1210/jendso/bvaa046.1803,2020,0,paper
W3193055309,https://doi.org/10.1101/2021.08.05.455350,2021,0,paper
W4200089608,https://doi.org/10.1103/physrevc.104.l061601,2021,0,paper
W4205870914,https://doi.org/10.1016/b978-0-12-824469-2.00038-5,2022,0,paper
W4206355949,https://doi.org/10.1353/port.2020.0015,2020,0,paper
W4211059311,https://doi.org/10.1017/9781108862417.008,2020,0,paper
W4211161234,https://doi.org/10.1017/9781108898768.010,2020,0,paper
W4211239149,https://doi.org/10.1017/9781108883696.010,2020,0,paper
W4211253894,https://doi.org/10.1017/9781108645164.014,2020,0,paper
W4214481588,https://doi.org/10.1017/9781108913843.021,2021,0,paper
W4214518452,https://doi.org/10.1017/9781108913843.022,2021,0,paper
W4214520083,https://doi.org/10.1017/9781108913843.001,2021,0,paper
W4214610482,https://doi.org/10.1017/9781108913843.020,2021,0,paper
W4232076290,https://doi.org/10.1007/978-3-642-35943-9_790-1,2020,0,paper
W4232225503,https://doi.org/10.1007/978-3-030-30018-0_2416,2020,0,paper
W4234108788,https://doi.org/10.14361/9783839450284-010,2020,0,paper
W4234496642,https://doi.org/10.1093/fs/knaa038,2020,0,paper
W4235181478,https://doi.org/10.14361/9783839450284-007,2020,0,paper
W4239345137,https://doi.org/10.26434/chemrxiv.12155499,2020,0,paper
W4239519246,https://doi.org/10.1007/978-3-030-56146-8_14,2020,0,paper
W4240116976,https://doi.org/10.2196/preprints.19650,2020,0,paper
W4241132005,https://doi.org/10.1016/s0898-8838(20)30009-x,2020,0,paper
W4243280948,https://doi.org/10.1017/s0022046919001994,2020,0,paper
W4243822155,https://doi.org/10.1136/emermed-2020-999abs.22,2020,0,paper
W4244396748,https://doi.org/10.31234/osf.io/m5362,2020,0,paper
W4246917564,https://doi.org/10.1080/14725843.2020.1773246,2020,0,paper
W4247207136,https://doi.org/10.4324/9781351113595-7,2020,0,paper
W4251947732,https://doi.org/10.4324/9781351113595-17,2020,0,paper
W4255050410,https://doi.org/10.14361/9783839450284-001,2020,0,paper
W4256039235,https://doi.org/10.1017/9781139030267.011,2020,0,paper
W4285490867,https://doi.org/10.21203/rs.3.rs-1831100/v1,2022,0,paper
W4287687010,,2020,0,paper
W4287951662,,2020,0,paper
W4293065341,https://doi.org/10.2139/ssrn.4189234,2022,0,paper
W4308999934,https://doi.org/10.5802/ahl.139,2022,0,paper
W4312211203,https://doi.org/10.1371/journal.pcbi.1010765,2022,0,paper
W4312471745,https://doi.org/10.1016/j.hpb.2022.05.226,2022,0,paper
W4317401509,https://doi.org/10.1017/s0010417522000494,2023,0,paper
W4318384893,https://doi.org/10.1101/2023.01.26.23284338,2023,0,paper
W4318392807,https://doi.org/10.1136/bmjopen-2022-070865,2023,0,paper
W4318696304,https://doi.org/10.21203/rs.3.rs-2520124/v1,2023,0,paper
W4319984751,https://doi.org/10.21203/rs.3.rs-56683/v2,2023,0,paper
W4323350730,https://doi.org/10.1016/j.nut.2023.112026,2023,0,paper
W3108936441,https://doi.org/10.1080/15548627.2020.1797280,2021,1836,paper
W4302773822,https://doi.org/10.22323/1.362.0019,2020,1691,paper
W3189164715,https://doi.org/10.1021/acs.chemrev.1c00022,2021,682,paper
W2978291699,https://doi.org/10.1103/physrevd.101.012002,2020,472,paper
W3181836791,https://doi.org/10.1016/j.ese.2021.100107,2021,401,paper
W3026501815,https://doi.org/10.1038/s41467-020-16370-x,2020,308,paper
W3028931246,https://doi.org/10.1093/rfs/hhaa062,2020,270,paper
W2972599699,https://doi.org/10.1140/epjc/s10052-019-7594-6,2020,253,paper
W4200350191,https://doi.org/10.1016/s1470-2045(21)00589-1,2021,241,paper
W2974427135,https://doi.org/10.1140/epjc/s10052-019-7500-2,2020,242,paper
W2759653811,https://doi.org/10.1257/jel.20191385,2020,234,paper
W3162704165,https://doi.org/10.1016/s2213-8587(21)00088-7,2021,215,paper
W3082823188,https://doi.org/10.1111/jar.12811,2020,224,paper
W2998968401,https://doi.org/10.1016/j.tim.2019.12.008,2020,223,paper
W3108845853,https://doi.org/10.1140/epjc/s10052-021-09233-2,2021,201,paper
W3093734695,https://doi.org/10.1140/epjc/s10052-021-09402-3,2021,196,paper
W2993180841,https://doi.org/10.1088/1748-0221/15/04/p04003,2020,191,paper
W3166651772,https://doi.org/10.1093/mnras/stab2672,2021,193,paper
W2995425743,https://doi.org/10.1103/physrevd.101.052005,2020,183,paper
W3010671326,https://doi.org/10.1103/physrevlett.125.051801,2020,186,paper
W3080928871,https://doi.org/10.1051/0004-6361/201937257,2020,187,paper
W3205605830,https://doi.org/10.1016/s2589-7500(21)00180-1,2021,177,paper
W3041529689,https://doi.org/10.1088/1748-0221/15/09/p09015,2020,177,paper
W4206830781,https://doi.org/10.1039/d1gc03662a,2021,171,paper
W3019292546,https://doi.org/10.1136/injuryprev-2019-043494,2020,167,paper
W3082902879,https://doi.org/10.1093/oxrep/graa026,2020,163,paper
W3048971769,https://doi.org/10.1038/s41564-020-0788-8,2020,162,paper
W3003838176,https://doi.org/10.1103/physrevlett.125.166001,2020,154,paper
W4206071468,https://doi.org/10.1186/s12916-021-02204-0,2022,150,paper
W2982180992,https://doi.org/10.1007/jhep03(2020)145,2020,142,paper
W2989625113,https://doi.org/10.3399/bjgpopen20x101030,2020,129,paper
W3157208268,https://doi.org/10.1021/acs.chemrev.0c01291,2021,131,paper
W3133752370,https://doi.org/10.1103/physrevd.103.112006,2021,124,paper
W2998988600,https://doi.org/10.1186/s40168-019-0774-7,2020,112,paper
W4205616329,https://doi.org/10.1021/acs.jctc.1c00708,2022,111,paper
W2999319358,https://doi.org/10.1001/jama.2020.0059,2020,105,paper
W3123952981,https://doi.org/10.1257/app.20180302,2020,98,paper
W3031282293,https://doi.org/10.1103/physrevlett.125.131801,2020,91,paper
W3139400144,https://doi.org/10.1186/s12915-021-00976-8,2021,100,paper
W3030528044,https://doi.org/10.1093/mnras/staa2030,2020,98,paper
W3021626742,https://doi.org/10.2196/18301,2020,96,paper
W3122451891,https://doi.org/10.1093/restud/rdaa057,2020,86,paper
W3130491860,https://doi.org/10.1140/epjc/s10052-020-08677-2,2021,91,paper
W2996362743,https://doi.org/10.1103/physrevd.101.072001,2020,83,paper
W2996415426,,2020,2,paper
W3009092112,https://doi.org/10.1002/psp4.12505,2020,2,paper
W3011089864,https://doi.org/10.1007/s10208-020-09450-3,2020,2,paper
W3013126653,https://doi.org/10.1093/bioinformatics/btaa639,2020,2,paper
W3019829061,https://doi.org/10.2196/16672,2020,2,paper
W3033858290,,2020,2,paper
W3036542652,https://doi.org/10.1109/itsc45102.2020.9294318,2020,2,paper
W3036701919,https://doi.org/10.1136/annrheumdis-2020-eular.449,2020,2,paper
W3039522493,https://doi.org/10.1093/cdj/bsaa022,2020,2,paper
W3039637870,https://doi.org/10.1177/0959354320915285,2020,2,paper
W3041504945,https://doi.org/10.1364/osac.399389,2020,2,paper
W3043026138,https://doi.org/10.1016/j.jde.2020.07.017,2020,2,paper
W3045174605,https://doi.org/10.1007/978-3-030-76666-5_6,2022,2,paper
W3045961427,https://doi.org/10.1111/1740-9713.01423,2020,2,paper
W3046471685,https://doi.org/10.1101/2020.08.03.20146241,2020,2,paper
W3046935100,https://doi.org/10.1093/mind/fzaa041,2020,2,paper
W3047065495,,2020,2,paper
W3047292302,https://doi.org/10.1093/ehr/ceaa100,2020,2,paper
W3048222880,https://doi.org/10.1093/ejil/chaa021,2020,2,paper
W3069085681,https://doi.org/10.1177/1751143720949458,2020,2,paper
W3082785100,https://doi.org/10.1093/jjfinec/nbaa019,2020,1,paper
W3083616312,https://doi.org/10.1093/analys/anaa033,2020,1,paper
W3084362770,https://doi.org/10.1109/access.2020.3022987,2020,2,paper
W3086628038,,2020,2,paper
W3094190874,https://doi.org/10.4171/ggd/768,2024,2,paper
W3107847978,https://doi.org/10.1098/rspb.2020.1405rspb20201405,2020,2,paper
W3111739733,https://doi.org/10.1136/leader-2020-000339,2020,2,paper
W3112881387,https://doi.org/10.1109/fie44824.2020.9274215,2020,2,paper
W3123265173,https://doi.org/10.2139/ssrn.3670490,2020,2,paper
W3123980089,https://doi.org/10.1093/ojls/gqaa022,2020,2,paper
W3128775411,https://doi.org/10.31538/nzh.v4i1.1111,2021,2,paper
W3131933037,https://doi.org/10.1101/2021.02.24.432750,2021,2,paper
W3170804478,https://doi.org/10.1090/tran/9189,2024,2,paper
W3184157600,https://doi.org/10.1371/journal.pone.0272864,2022,2,paper
W3191465276,https://doi.org/10.3847/1538-3881/ac2ba5,2021,2,paper
W4205638916,https://doi.org/10.2139/ssrn.3699848,2020,2,paper
W4221085235,https://doi.org/10.12688/gatesopenres.13327.2,2022,2,paper
W4240209098,https://doi.org/10.1007/978-3-319-71064-8_126-1,2020,2,paper
W4241095473,https://doi.org/10.4324/9780429264375-6,2020,2,paper
W4253009885,https://doi.org/10.1002/chem.201905701,2020,2,paper
W4253308980,https://doi.org/10.4324/9781351113595-14,2020,2,paper
W4254442226,https://doi.org/10.21203/rs.3.rs-16883/v1,2020,2,paper
W4283123495,https://doi.org/10.1155/2022/3586372,2022,2,paper
W4313415756,https://doi.org/10.1109/jsen.2022.3223383,2022,2,paper
W4316039303,https://doi.org/10.3390/ijms24021576,2023,2,paper
W4322775484,https://doi.org/10.3847/1538-4357/acb8ac,2023,2,paper
W4323521185,https://doi.org/10.1109/ieeeconf56349.2022.10052064,2022,2,paper
W4377220784,https://doi.org/10.3389/fmicb.2023.1113642,2023,2,paper
W4378837333,https://doi.org/10.1007/jhep11(2023)150,2023,2,paper
W4382056272,https://doi.org/10.1007/s10978-023-09349-2,2023,2,paper
W4382561158,https://doi.org/10.1558/jalpp.21858,2023,2,paper
W4383368990,https://doi.org/10.1007/jhep07(2023)021,2023,2,paper
W4383817090,https://doi.org/10.1007/s11042-023-15737-8,2023,2,paper
W4383821380,https://doi.org/10.26434/chemrxiv-2023-4hn6k,2023,2,paper
W4385346798,https://doi.org/10.4324/9780429350863,2023,2,paper
W4385376217,https://doi.org/10.1093/mnras/stad2274,2023,2,paper
W4385387159,https://doi.org/10.1016/j.mtcomm.2023.106765,2023,2,paper
W4385391075,https://doi.org/10.58286/28135,2023,2,paper
W4385698389,https://doi.org/10.1103/physrevc.108.024906,2023,2,paper
W4385716098,https://doi.org/10.1007/s00402-023-05010-w,2023,2,paper
W4385737302,https://doi.org/10.3399/bjgpo.2023.0024,2023,2,paper
W4385898512,https://doi.org/10.1017/s0954579423000792,2023,2,paper
W4386120798,https://doi.org/10.1093/oso/9780192869784.001.0001,2023,2,paper
W4386370422,https://doi.org/10.1140/epjc/s10052-023-11873-5,2023,2,paper
W4386387530,https://doi.org/10.1007/jhep09(2023)004,2023,2,paper
W4386528739,https://doi.org/10.1007/jhep01(2024)004,2024,2,paper
W4386698533,https://doi.org/10.32920/24135291,2023,1,paper
W4386700006,https://doi.org/10.1332/17442648y2023d000000001,2023,2,paper
W4386733932,https://doi.org/10.1021/acsmacrolett.3c00495,2023,2,paper
W4386735361,https://doi.org/10.2139/ssrn.4563526,2023,2,paper
W4387264795,https://doi.org/10.1136/bmjresp-2023-bssconf.59,2023,2,paper
W4387428465,https://doi.org/10.1007/jhep10(2023)009,2023,2,paper
W4387568406,https://doi.org/10.1101/2023.10.11.23296862,2023,2,paper
W4387894044,https://doi.org/10.1007/jhep12(2023)167,2023,2,paper
W4388036673,https://doi.org/10.1016/j.bpr.2023.100134,2023,2,paper
W4389199873,https://doi.org/10.54254/2754-1169/52/20230710,2023,2,paper
W4389226001,https://doi.org/10.1017/bpp.2023.32,2023,2,paper
W4389252195,https://doi.org/10.15185/izawol.391.v2,2023,2,paper
W4389254178,https://doi.org/10.1007/978-3-031-46270-2,2023,2,paper
