id,paper_count
A5105595436,1
A5028541942,2
A5091142031,2
A5039935433,1
A5072799021,3
A5110126969,1
A5107840773,15
A5000862457,10
A5033870671,3
A5042210680,10
A5065547580,74
A5104009179,2
A5017512047,1
A5077496771,1
A5107920726,1
A5077344513,1
A5076744507,2
A5113910246,1
A5060306208,3
A5036459067,4
A5000057889,9
A5055317696,1
A5101796909,15
A5072719251,3
A5103144318,5
A5109354723,2
A5012883041,1
A5027157675,13
A5017399695,5
A5069031949,4
A5004028467,2
A5001772080,2
A5105715754,1
A5020585562,1
A5045393655,1
A5068318640,1
A5008967164,9
A5113050705,1
A5107892012,1
A5087384649,1
A5029684224,13
A5030849979,4
A5010711029,4
A5067765409,17
A5100437179,1
A5055547149,1
A5068264441,5
A5018812816,1
A5020679457,1
A5073651513,3
A5051869233,2
A5064435514,1
A5080606732,8
A5107318866,1
A5041374893,5
A5031029268,7
A5076290258,1
A5107945682,16
A5057389288,1
A5038502391,2
A5107520559,4
A5031041794,3
A5068371650,6
A5084754201,1
A5085288697,1
A5016457709,1
A5018165929,27
A5031349547,2
A5080662093,1
A5084684119,1
A5090343085,9
A5004613584,121
A5014127387,3
A5077672302,6
A5067398757,1
A5033597861,3
A5100332559,12
A5002659694,1
A5089705574,4
A5107877110,6
A5089575805,1
A5046179506,2
A5004734389,3
A5107901100,3
A5100321035,2
A5091363475,1
A5025000389,1
A5029170432,3
A5016411880,1
A5079368237,23
A5064952172,1
A5100440286,1
A5022689617,1
A5014487615,1
A5055013655,8
A5110928652,2
A5025984284,11
A5081575855,1
A5013930654,14
A5010511076,5
A5038974697,16
A5020867003,1
A5066665483,11
A5062203127,8
A5005799724,1
A5029678132,3
A5000460302,2
A5080689528,1
A5001089952,1
A5056246204,10
A5031192614,1
A5030406076,2
A5044979698,4
A5058708593,1
A5100659452,1
A5106165766,1
A5094088694,2
A5100342481,2
A5107383369,2
A5023326677,2
A5100437295,1
A5062951688,109
A5065104164,5
A5071650224,1
A5040860395,1
A5070039796,1
A5025935020,1
A5045382119,14
A5031471755,2
A5011671349,1
A5107878428,1
A5069092641,1
A5092991847,1
A5063318550,4
A5045506896,6
A5042065599,26
A5071618173,3
A5052821672,1
A5006119951,1
A5064105664,6
A5006989555,3
A5040110248,35
A5043443917,1
A5112837876,1
A5094372887,3
A5072435412,2
A5007257064,1
A5032055554,6
A5094372891,3
A5046481136,13
A5072093262,5
A5076942640,2
A5077481743,7
A5071522700,2
A5084059014,2
A5106510580,1
A5016676131,1
A5002807932,1
A5075304322,2
A5103987072,4
A5109736149,2
A5100764841,1
A5012291561,1
A5052468116,13
A5021354054,28
A5060489656,1
A5086515590,2
A5048339530,1
A5078103383,4
A5105634264,1
A5104270512,1
A5108065580,2
A5094341020,1
A5005966212,2
A5029555312,2
A5030402343,1
A5015942226,4
A5010085480,5
A5022989784,9
A5107912221,2
A5003185028,21
A5046076583,1
A5108919618,2
A5044041393,1
A5022164361,1
A5045514638,11
A5024667215,2
A5049177236,1
A5061841111,9
A5112948780,2
A5058267939,5
A5044665419,1
A5099103025,1
A5051819492,96
A5075168463,2
A5084360426,1
A5072490377,1
A5008881499,1
A5107380794,1
A5104977942,3
A5105871863,5
A5040176353,1
A5112703472,1
A5019448642,1
A5054998830,1
A5102825538,1
A5034442699,20
A5039680751,12
A5015518826,2
A5022175318,1
A5065597650,2
A5085958280,25
A5032178104,1
A5100394943,22
A5112596370,3
A5023983461,9
A5041846424,4
A5102618563,2
A5057514436,1
A5107806001,1
A5059183086,2
A5013335433,6
A5105279706,1
A5062887445,4
A5107877729,3
A5052548483,1
A5101449591,1
A5109615459,1
A5034360966,3
A5031112956,1
A5103100195,24
A5035048148,8
A5087844969,1
A5000258388,1
A5070630846,2
A5065248857,13
A5082105213,3
A5107945784,6
A5076510809,3
A5021013801,9
A5070725114,14
A5101785079,4
A5100437281,1
A5101529742,2
A5006302803,8
A5078850693,1
A5079473781,1
A5056601153,5
A5056311646,1
A5040705344,1
A5107884560,4
A5105093539,1
A5080894664,1
A5030857363,5
A5000605994,5
A5018746872,1
A5073333303,1
A5112514457,1
A5032014215,1
A5075090598,1
A5078736952,1
A5014963906,3
A5061627771,17
A5101876606,3
A5100408551,1
A5051182961,1
A5085123741,1
A5034565938,223
A5094186573,1
A5106742685,1
A5065027096,1
A5102684420,1
A5009193636,13
A5089285789,1
A5074871821,2
A5071171059,2
A5080661726,5
A5033462887,1
A5075369722,1
A5107826547,2
A5024474612,2
A5019051032,1
A5051483981,4
A5001740089,2
A5004252693,1
A5027686563,1
A5071829395,1
A5101466821,1
A5059993229,13
A5022310347,3
A5052571261,4
A5100759747,1
A5080095759,23
A5090604942,7
A5023647258,7
A5086985913,1
A5106115078,1
A5100401387,1
A5050262204,32
A5021685097,1
A5057469846,2
A5115588065,15
A5046221758,3
A5009718960,10
A5027735155,1
A5081851335,3
A5036396443,1
A5036245706,4
A5031010679,1
A5026856828,6
A5107879230,2
A5041716267,1
A5058318590,4
A5036196550,1
A5041346967,1
A5087926625,9
A5072609775,3
A5077921850,2
A5042174485,19
A5058411144,8
A5093623411,1
A5068313957,3
A5005278213,1
A5028569952,1
A5026718378,47
A5065865096,1
A5112251083,3
A5012690069,12
A5077835228,2
A5102867298,11
A5006849033,2
A5107519294,2
A5107382751,1
A5100512450,1
A5107879724,1
A5012958162,1
A5002595735,1
A5010240403,2
A5034774633,4
A5095518779,1
A5038818584,1
A5025388986,1
A5107940994,14
A5047066123,1
A5003448404,72
A5077775092,2
A5050964558,1
A5101598829,5
A5001246022,16
A5062340261,6
A5107899190,6
A5007032841,1
A5029123309,1
A5076362547,2
A5047395570,4
A5075568959,2
A5050969466,1
A5021958252,10
A5091632261,2
A5109070641,2
A5109489809,1
A5052944696,1
A5033211377,1
A5064368301,1
A5110499917,3
A5025785551,4
A5038368858,3
A5024607353,3
A5089150108,25
A5044339415,19
A5046181902,20
A5068203856,15
A5090226319,2
A5038053117,21
A5099000065,1
A5111571001,1
A5014594524,12
A5064463014,1
A5046656727,2
A5100377592,1
A5100734343,1
A5062156010,9
A5110918592,5
A5036982627,4
A5097601289,1
A5068810411,2
A5107911395,3
A5016023553,5
A5055842857,1
A5041668475,10
A5090246651,3
A5042206762,2
A5052670134,2
A5025033411,13
A5080287416,1
A5015003542,2
A5091751969,1
A5039512109,6
A5026997067,2
A5111021822,1
A5078899145,1
A5067287880,3
A5093320290,1
A5024793517,10
A5063432011,1
A5098447941,2
A5105595462,1
A5061384497,1
A5084640881,1
A5101703173,1
A5100719734,1
A5060053549,1
A5051667032,1
A5087216391,5
A5034761121,13
A5028679152,1
A5105582486,1
A5030396373,1
A5063398219,1
A5059801369,15
A5064596191,58
A5094348032,1
A5071093940,1
A5060303280,1
A5044840370,1
A5023311934,3
A5072937196,2
A5062222784,1
A5084706058,3
A5107090737,1
A5110653617,4
A5043238156,1
A5046383339,1
A5040137163,2
A5010104436,1
A5078709760,2
A5032890791,4
A5029557699,2
A5045334907,5
A5083174192,1
A5036024913,1
A5034225173,1
A5019207151,2
A5076968533,1
A5078259466,21
A5084849071,8
A5014766262,2
A5109653625,2
A5009984370,2
A5055591979,15
A5016000220,7
A5043283844,8
A5068586669,2
A5072862054,11
A5110722779,1
A5028165917,1
A5010664807,2
A5070815248,6
A5049638357,5
A5067651303,1
A5100529545,1
A5109014597,1
A5074073571,7
A5087808895,15
A5040811070,1
A5040737387,1
A5016278639,1
A5028198037,16
A5056316769,1
A5080351177,5
A5005112420,2
A5034518331,4
A5043018390,2
A5029923246,2
A5093376237,1
A5046231835,1
A5072257440,2
A5022586147,5
A5046063144,8
A5083929203,1
A5074244017,5
A5027500201,1
A5110800972,4
A5001644950,20
A5060620332,1
A5049764878,5
A5066339970,2
A5048150356,108
A5057425812,1
A5084711143,1
A5038042588,2
A5113326319,1
A5027253658,2
A5058925997,23
A5006099750,2
A5055804864,8
A5084958118,1
A5068256733,1
A5060736315,2
A5106415940,1
A5053897821,3
A5048460211,8
A5054542530,25
A5028117287,3
A5098820929,2
A5107382834,2
A5033708290,53
A5085640904,25
A5063969475,11
A5039871195,1
A5034471938,6
A5050367980,50
A5026146248,2
A5043580746,1
A5056705256,1
A5106129179,1
A5094012707,1
A5104076104,1
A5087024096,1
A5087662368,1
A5088912237,1
A5091085661,4
A5012266915,23
A5110351263,2
A5083723797,9
A5101739655,1
A5001638765,1
A5064451501,3
A5028693710,1
A5029945967,4
A5050509237,2
A5102752558,4
A5112061366,1
A5008234985,2
A5091032814,1
A5062459114,1
A5085240146,4
A5003896494,7
A5013187426,1
A5072616017,2
A5006846110,1
A5105577906,5
A5046704072,1
A5000977702,15
A5039136927,1
A5111860569,1
A5050721704,8
A5094110860,1
A5108975307,2
A5056660928,1
A5049776474,2
A5088788894,13
A5024824584,1
A5064855029,2
A5055392319,8
A5046923588,3
A5057715397,1
A5083151668,33
A5034919407,2
A5085895776,1
A5023759989,1
A5051216233,1
A5057617021,3
A5106657165,1
A5061259968,9
A5108120608,2
A5100384874,8
A5107935656,3
A5024696233,1
A5065827241,1
A5059862980,4
A5034485177,2
A5100693489,1
A5091208951,2
A5052942184,5
A5079331634,4
A5113887340,3
A5088465401,9
A5028646961,4
A5088013852,1
A5105566950,2
A5034684238,22
A5114526551,1
A5079914364,1
A5086417068,1
A5092094723,1
A5001262463,4
A5106459782,3
A5100410317,11
A5025821295,6
A5018600468,1
A5057654887,2
A5018823440,32
A5045018957,7
A5111509241,1
A5013513223,9
A5111072368,1
A5103170182,2
A5073605312,2
A5106460637,2
A5044481334,2
A5111155432,1
A5042161742,1
A5069661409,1
A5002632464,2
A5037654904,42
A5015010230,1
A5064707493,16
A5060128655,1
A5103160041,1
A5062748038,8
A5093126958,1
A5106787803,4
A5028371910,4
A5057119611,1
A5021982060,2
A5036356712,3
A5111415942,4
A5113065270,4
A5115596170,1
A5049494234,3
A5068981280,15
A5067915446,1
A5100687966,1
A5039813064,1
A5102292813,1
A5051720726,1
A5011281963,3
A5057416840,6
A5092005197,1
A5047277105,9
A5064829214,11
A5029940119,10
A5057693862,1
A5026831597,1
A5103251648,1
A5060086222,4
A5013199321,27
A5000451606,2
A5006535883,1
A5051595054,1
A5031186997,1
A5035538023,1
A5013677393,2
A5045036356,3
A5012389412,11
A5082429926,13
A5020301876,1
A5011573794,1
A5006621958,2
A5043572025,25
A5112858789,2
A5003211953,1
A5103977096,2
A5109377961,1
A5088259091,1
A5016168339,5
A5033517390,2
A5084467775,1
A5032499140,1
A5007361452,3
A5107355138,2
A5103231528,1
A5083986486,1
A5042734729,1
A5072940061,2
A5019701734,16
A5055059743,7
A5029680197,8
A5055644931,28
A5062058100,3
A5109580432,5
A5014964775,1
A5046541153,1
A5062167438,40
A5102569926,2
A5008243219,5
A5007440245,1
A5106625673,1
A5065628296,2
A5012226169,1
A5007610483,1
A5068231524,6
A5004789141,52
A5074764721,2
A5067848382,1
A5052347909,2
A5051944481,1
A5000712964,4
A5025826473,12
A5112415426,2
A5079017810,9
A5019339304,4
A5017734712,1
A5008868667,3
A5087646566,14
A5023429436,1
A5016849788,9
A5107833531,4
A5107825195,2
A5077280166,1
A5011234408,1
A5049667391,1
A5091638612,2
A5107556554,1
A5036333437,1
A5031349642,3
A5025871273,13
A5045799758,13
A5108935070,2
A5025695873,64
A5081003099,1
A5105538019,1
A5017932231,1
A5098308045,1
A5089439837,8
A5000831527,10
A5022520977,1
A5073192614,10
A5073351672,1
A5072978483,7
A5010767200,1
A5051314999,2
A5031604550,1
A5051301809,1
A5023547132,1
A5032070008,1
A5039657761,1
A5067642957,2
A5072530808,3
A5107867475,11
A5108022801,6
A5026235741,1
A5050819124,8
A5029756236,7
A5028222364,1
A5037686971,1
A5113363539,1
A5067730366,5
A5040589320,1
A5071714453,1
A5103975914,2
A5055704589,9
A5094372904,3
A5067368194,1
A5100719738,1
A5078676672,1
A5084843063,1
A5012564310,5
A5029791453,16
A5114277945,1
A5037476719,1
A5056351183,72
A5049831156,1
A5028957144,1
A5113589630,1
A5036584111,1
A5008851186,2
A5052707839,1
A5069594174,8
A5020470279,2
A5106454553,1
A5009786101,27
A5008596499,11
A5114522013,1
A5078810801,1
A5035111334,16
A5090571589,1
A5060346202,1
A5004490363,1
A5029969579,8
A5037506060,3
A5072432368,77
A5023937287,2
A5110262763,1
A5080341690,3
A5028334439,1
A5054810836,7
A5037067109,2
A5065657382,10
A5114757625,1
A5002194879,1
A5115594850,2
A5036941489,1
A5080677433,1
A5077357826,4
A5033819196,2
A5058194047,6
A5076528153,2
A5112622004,1
A5019249102,6
A5036744564,6
A5092900724,1
A5002115553,3
A5112232810,1
A5035612783,2
A5031817270,1
A5008061996,1
A5111428036,6
A5032111306,1
A5020728538,1
A5088006402,5
A5105558468,1
A5058004638,1
A5087572666,2
A5061173179,1
A5100752657,1
A5111056474,2
A5083065945,1
A5043493878,4
A5030984031,64
A5087545259,6
A5036639594,20
A5108144769,21
A5010748074,18
A5072642720,1
A5017034355,1
A5011537996,1
A5043886959,1
A5092535273,1
A5002628587,1
A5070151912,3
A5093069008,1
A5024677373,3
A5036267023,1
A5069295328,1
A5102468152,1
A5052724997,2
A5072062134,1
A5015343723,1
A5067327141,1
A5035955181,7
A5037916127,2
A5101993757,2
A5010011921,1
A5067581608,1
A5107369234,1
A5017632387,4
A5006129196,7
A5020842854,5
A5050862538,1
A5111085792,1
A5092902868,1
A5024270567,1
A5009036501,1
A5001005453,15
A5102890074,2
A5005648315,1
A5041188014,1
A5109571992,13
A5072765123,1
A5043056597,1
A5012973242,11
A5100389302,1
A5084956078,7
A5062441245,4
A5075414548,2
A5104542297,2
A5017794665,3
A5073057783,5
A5107904295,1
A5069439380,2
A5090050612,11
A5072260599,5
A5020904317,1
A5072807421,15
A5022009290,1
A5069156747,4
A5012741837,4
A5101539944,4
A5059345293,1
A5015208310,1
A5017925369,1
A5102894695,1
A5022378988,1
A5055777640,1
A5078755905,2
A5083293410,20
A5037699743,1
A5047144853,1
A5081262198,1
A5023764588,1
A5002854735,1
A5010182291,1
A5048461039,130
A5111486899,2
A5016864903,2
A5069071253,3
A5003886399,1
A5054440117,2
A5054898650,1
A5101852751,1
A5108143292,1
A5048190318,1
A5061718168,4
A5004828576,28
A5092896651,3
A5105579707,2
A5006837751,1
A5023172873,1
A5087035798,1
A5004751349,1
A5070719949,1
A5063027770,1
A5105698525,2
A5071966233,1
A5089387538,1
A5065418859,9
A5042730812,3
A5025432609,22
A5040074723,2
A5060673508,16
A5035680685,9
A5108063242,6
A5013826002,2
A5057605032,5
A5059714946,1
A5004235086,25
A5020031775,10
A5066757164,1
A5027693284,1
A5037047387,3
A5081969377,11
A5076332496,2
A5053871623,1
A5071891690,6
A5079740384,1
A5082714264,17
A5101771615,1
A5051389584,1
A5094305635,1
A5066106849,3
A5109630775,1
A5112029257,3
A5094577041,1
A5101671744,1
A5092127420,1
A5091964430,3
A5114132442,1
A5056803231,1
A5091745701,2
A5013247850,1
A5014459421,1
A5044171245,2
A5045010957,1
A5068063990,7
A5105457154,2
A5080434079,1
A5008517351,6
A5086337505,2
A5087746730,1
A5015150372,1
A5027811029,2
A5056073262,1
A5066472497,22
A5036440758,2
A5035838377,19
A5058096455,1
A5113151806,1
A5108402593,1
A5101466259,5
A5034312876,1
A5001079818,1
A5056400644,10
A5069243021,7
A5026538751,1
A5019788432,12
A5102603406,1
A5090435705,1
A5111040706,1
A5088161449,2
A5031982402,1
A5023379037,2
A5080614769,1
A5026210868,3
A5033912893,68
A5091811974,1
A5105886348,1
A5105181235,6
A5053918616,1
A5015237956,5
A5019840879,3
A5014472356,16
A5028386277,1
A5075698787,8
A5061472080,10
A5006079048,1
A5100530610,1
A5094372877,3
A5107889585,5
A5041991433,9
A5057001594,1
A5025319246,1
A5089890846,16
A5057398590,2
A5089062746,1
A5098157031,1
A5096380787,2
A5108151747,1
A5094577042,1
A5081015701,10
A5029293017,1
A5025233758,1
A5033766071,1
A5077911233,2
A5061282606,1
A5068290810,1
A5043582188,7
A5052608169,56
A5036724198,1
A5032716286,1
A5110074686,1
A5081149906,1
A5077524772,1
A5001704117,6
A5052212253,5
A5060988058,1
A5083674943,1
A5051158497,13
A5114090753,1
A5067383775,1
A5083181071,1
A5090187376,1
A5052140928,1
A5077505468,19
A5031317941,2
A5065910712,33
A5000119795,1
A5013590507,2
A5082456364,2
A5062136254,1
A5083624174,3
A5100327227,1
A5071501695,6
A5073085648,1
A5031059415,1
A5103558073,1
A5039832358,3
A5074003439,37
A5053934451,27
A5075601911,1
A5107980327,2
A5054269075,1
A5011567438,8
A5030590749,1
A5021456132,2
A5042045970,14
A5027106493,4
A5100670765,1
A5105678391,3
A5101541030,2
A5036517657,1
A5031061555,1
A5071134410,10
A5065545400,1
A5024733719,10
A5105782979,1
A5105815456,2
A5089582958,6
A5107849243,10
A5017888210,2
A5101692525,2
A5010249392,1
A5093355025,2
A5032007219,1
A5044769902,24
A5032401134,1
A5054703570,2
A5108735522,2
A5057149101,7
A5011976257,2
A5107893537,6
A5087056935,3
A5029014129,1
A5056178068,1
A5087203216,1
A5101205082,3
A5066039057,15
A5044824372,1
A5068152561,106
A5001510826,1
A5100748869,6
A5114549790,1
A5011878773,1
A5002570366,1
A5100352685,3
A5026491047,3
A5022860257,4
A5010863533,7
A5076046988,2
A5053612536,2
A5061229790,16
A5111208132,1
A5004416417,4
A5107891974,4
A5041648165,7
A5005734297,110
A5022801081,1
A5037018902,1
A5056115520,2
A5111294189,1
A5040961061,1
A5013437305,1
A5111469616,1
A5012952748,1
A5034490805,1
A5050065194,7
A5088033361,1
A5045328217,2
A5100566257,6
A5018876538,2
A5109025414,1
A5109478972,1
A5004938556,1
A5110928686,1
A5012940081,1
A5047437810,3
A5045458985,2
A5005581878,1
A5041224557,2
A5039303045,1
A5060441783,1
A5102970628,1
A5014387093,2
A5035519822,19
A5088243504,1
A5015848604,1
A5023008908,2
A5049666539,3
A5054971803,1
A5001157973,1
A5100633066,136
A5103012484,1
A5080058993,4
A5055159984,1
A5048872650,1
A5031924996,1
A5008353474,8
A5016656795,1
A5052716490,2
A5079302675,2
A5112648215,4
A5001278447,1
A5044646825,1
A5002169023,1
A5107357891,3
A5039583563,2
A5115049143,2
A5106439214,1
A5108398347,6
A5082252423,8
A5100694308,2
A5046755921,1
A5047140493,1
A5109726107,1
A5058437029,2
A5032655566,1
A5006072539,25
A5078546962,1
A5014482766,1
A5015709853,69
A5089839232,4
A5074866537,20
A5085029842,3
A5035935838,2
A5102926795,1
A5005495945,2
A5033012457,7
A5070491018,2
A5036939350,2
A5018919307,4
A5020213713,6
A5106792782,1
A5048119635,1
A5070920315,1
A5083067593,1
A5101853850,1
A5101983386,3
A5107831200,1
A5042275688,1
A5033648411,24
A5020720612,18
A5033527229,3
A5108994431,1
A5025690875,2
A5097983717,1
A5022930661,2
A5065452295,5
A5026896449,3
A5057853710,1
A5075522639,4
A5012915897,14
A5039458731,60
A5048113582,1
A5103356801,1
A5084697741,2
A5035016467,5
A5031860300,17
A5083265781,13
A5063502171,1
A5028802376,6
A5034415788,20
A5083649032,1
A5039717161,1
A5100691702,1
A5029348209,1
A5026657286,56
A5085053574,26
A5101404598,6
A5105647091,1
A5082958333,3
A5004368259,1
A5083166866,4
A5016999029,1
A5047675331,1
A5074901900,7
A5019955013,1
A5078181217,5
A5087746938,1
A5062874551,1
A5026604308,1
A5064312013,14
A5046597600,1
A5025085814,1
A5036076717,2
A5043883557,4
A5089647820,16
A5053224452,1
A5103122845,1
A5044646763,2
A5007809395,1
A5016040218,3
A5079942435,10
A5020441260,1
A5011483857,4
A5112362526,1
A5058299024,2
A5062179655,3
A5046622821,1
A5051630845,1
A5021189098,56
A5083366482,1
A5084438850,1
A5027435899,1
A5076348628,24
A5029225056,1
A5100739269,1
A5061007245,10
A5018748154,9
A5034166869,1
A5080474181,2
A5108861739,1
A5033507511,1
A5048159776,1
A5008914945,1
A5103256511,1
A5018961464,1
A5069289844,3
A5089779586,1
A5101566173,8
A5062065558,12
A5030109089,2
A5022762002,10
A5076128851,2
A5022773063,6
A5034869466,1
A5073411912,5
A5004191675,1
A5098533141,1
A5081648742,2
A5088842176,30
A5055163158,1
A5024009389,3
A5023026885,1
A5049554582,5
A5022347576,4
A5022458739,1
A5078569474,1
A5059942896,2
A5068320009,1
A5018916731,1
A5111044144,6
A5073798946,3
A5113268282,2
A5112097902,1
A5094742592,1
A5010795485,2
A5005771034,8
A5056753977,1
A5113824576,11
A5024388330,5
A5004546105,1
A5006954610,2
A5049515699,1
A5108458612,39
A5026382390,87
A5009872622,22
A5043492629,1
